Date,Net Worth,All Long Net Worth
January 1982,58650.0,58650.0
February 1982,57250.0,57250.0
March 1982,59100.0,55400.0
April 1982,62031.5,58150.0
May 1982,62084.8,58200.0
June 1982,58513.7,54850.0
July 1982,58353.8,54700.0
August 1982,58513.7,54850.0
September 1982,65282.8,61200.0
October 1982,70772.69999999998,66350.0
November 1982,73650.9,69050.0
December 1982,74343.79999999999,69700.0
January 1983,76955.5,72150.0
February 1983,78288.0,73400.0
March 1983,81006.29999999999,75950.0
April 1983,84097.69999999998,78850.0
May 1983,87508.9,82050.0
June 1983,88734.79999999999,83200.0
July 1983,89054.6,83500.0
August 1983,86602.79999999999,81200.0
September 1983,89161.19999999998,83600.0
October 1983,89427.69999999998,83850.0
November 1983,88095.19999999998,82600.0
December 1983,87668.79999999999,82200.0
January 1984,88734.79999999999,83200.0
February 1984,83884.5,78650.0
March 1984,83937.79999999999,78700.0
April 1984,84044.4,78800.0
May 1984,83511.4,78300.0
June 1984,81645.9,76550.0
July 1984,80579.9,75550.0
August 1984,87668.79999999999,82200.0
September 1984,88574.9,83050.0
October 1984,87882.0,82400.0
November 1984,88681.5,83150.0
December 1984,87722.1,82250.0
January 1985,91506.4,85800.0
February 1985,96463.29999999999,90450.0
March 1985,95663.79999999999,89700.0
April 1985,96303.4,90300.0
May 1985,98595.29999999999,92450.0
June 1985,100727.29999999999,94450.0
July 1985,102646.1,96250.0
August 1985,100407.5,94150.0
September 1985,98168.9,92050.0
October 1985,99288.19999999998,93100.0
November 1985,105311.1,98750.0
December 1985,110534.5,103650.0
January 1986,111014.19999999998,104100.0
February 1986,116983.79999999999,109700.0
March 1986,123859.5,116150.0
April 1986,126897.6,119000.0
May 1986,127164.1,119250.0
June 1986,130788.5,122650.0
July 1986,128070.19999999998,120100.0
August 1986,130628.6,122500.0
September 1986,127057.5,119150.0
October 1986,126577.79999999999,118700.0
November 1986,130681.9,122550.0
December 1986,132547.4,124300.0
January 1987,141022.1,132250.0
February 1987,149763.3,140450.0
March 1987,155946.1,146250.0
April 1987,154240.5,144650.0
May 1987,154133.90000000002,144550.0
June 1987,160689.8,150700.0
July 1987,165326.90000000002,155050.0
August 1987,175613.8,164700.0
September 1987,169910.7,159350.0
October 1987,149390.2,140100.0
November 1987,130628.6,122500.0
December 1987,128496.6,120500.0
January 1988,133560.1,125250.0
February 1988,137610.90000000002,129050.00000000001
March 1988,141661.7,132850.0
April 1988,140009.40000000002,131300.0
May 1988,136544.90000000002,128050.00000000001
June 1988,144326.7,135350.0
July 1988,143473.90000000002,134550.0
August 1988,140595.7,131850.0
September 1988,142887.6,134000.0
October 1988,147897.8,138700.0
November 1988,144486.6,135500.0
December 1988,147418.1,138250.0
January 1989,152161.8,142700.0
February 1989,156745.6,147000.0
March 1989,156009.1,146350.0
April 1989,150892.3,151150.0
May 1989,156636.09999999998,156950.0
June 1989,161526.3,161850.0
July 1989,165618.09999999998,165950.0
August 1989,172953.4,173300.0
